name,rating,reviews,salary,interviews,jobs
Mankind Pharma,4.1,1.9k Reviews,7.4k Salaries,132 Interviews,36 Jobs
Zensar Technologies,3.8,1.9k Reviews,23.7k Salaries,142 Interviews,65 Jobs
IGT Solutions,3.3,1.9k Reviews,10.1k Salaries,121 Interviews,95 Jobs
Taj Hotels Resorts and Palaces,4.2,1.9k Reviews,5.8k Salaries,70 Interviews,32 Jobs
Max Healthcare,4.1,1.9k Reviews,8.2k Salaries,75 Interviews,111 Jobs
Capgemini Engineering,3.6,1.9k Reviews,19.4k Salaries,181 Interviews,82 Jobs
State Street Syntel,3.7,1.9k Reviews,12.2k Salaries,48 Interviews,-- Jobs
EY Global Delivery Services ( EY GDS),3.7,1.9k Reviews,5.6k Salaries,292 Interviews,-- Jobs
Birla Sun Life Insurance,4.2,1.9k Reviews,7.1k Salaries,76 Interviews,3 Jobs
Walmart,4.0,1.9k Reviews,12.4k Salaries,185 Interviews,146 Jobs
Tata Technologies,3.7,1.9k Reviews,17k Salaries,138 Interviews,168 Jobs
Bajaj Allianz General Insurance,4.0,1.9k Reviews,8.3k Salaries,54 Interviews,29 Jobs
Landmark Group,4.0,1.9k Reviews,8.8k Salaries,77 Interviews,120 Jobs
Nestle,4.1,1.9k Reviews,8.5k Salaries,166 Interviews,33 Jobs
State Street Corporation,3.8,1.9k Reviews,19.7k Salaries,109 Interviews,71 Jobs
Tractors and Farm Equipment,4.1,1.9k Reviews,8.3k Salaries,67 Interviews,45 Jobs
Blue Dart Express,4.1,1.9k Reviews,6.1k Salaries,65 Interviews,4 Jobs
Societe Generale,3.9,1.9k Reviews,17.3k Salaries,140 Interviews,45 Jobs
HDFC Sales,4.0,1.9k Reviews,7.4k Salaries,112 Interviews,51 Jobs
Nokia,4.2,1.9k Reviews,17.1k Salaries,145 Interviews,16 Jobs
ElasticRun,3.4,1.9k Reviews,5.7k Salaries,199 Interviews,39 Jobs
Fiserv,3.7,1.9k Reviews,17.1k Salaries,94 Interviews,80 Jobs
Fortis Healthcare,4.0,1.9k Reviews,7k Salaries,77 Interviews,45 Jobs
Grasim Industries,4.0,1.8k Reviews,7.9k Salaries,106 Interviews,6 Jobs
I Process Services,3.9,1.8k Reviews,4.8k Salaries,50 Interviews,12 Jobs
BlackBuck,3.9,1.8k Reviews,5.9k Salaries,123 Interviews,66 Jobs
Ola Cabs,3.5,1.8k Reviews,11.5k Salaries,102 Interviews,478 Jobs
UNO Minda,4.0,1.8k Reviews,8k Salaries,103 Interviews,2 Jobs
Johnson Controls,3.3,1.8k Reviews,13.1k Salaries,159 Interviews,26 Jobs
Voltas,4.0,1.8k Reviews,7.7k Salaries,75 Interviews,4 Jobs
Micro Labs,3.6,1.8k Reviews,8.6k Salaries,71 Interviews,9 Jobs
Lifestyle,4.4,1.8k Reviews,7k Salaries,47 Interviews,23 Jobs
Britannia,4.1,1.8k Reviews,6.9k Salaries,103 Interviews,35 Jobs
RSPL Group,4.1,1.8k Reviews,7.9k Salaries,89 Interviews,13 Jobs
Croma,4.1,1.8k Reviews,6.1k Salaries,62 Interviews,135 Jobs
Extramarks Education,3.5,1.8k Reviews,8.3k Salaries,140 Interviews,120 Jobs
Exide Industries,3.5,1.8k Reviews,6.8k Salaries,103 Interviews,72 Jobs
Future Retail,4.3,1.8k Reviews,6.3k Salaries,41 Interviews,2 Jobs
TVS Supply Chain Solutions,3.9,1.8k Reviews,8.1k Salaries,79 Interviews,14 Jobs
